Mes;Ano;Mes_Ano;CI_Pop_Uniforme;CII_Ambientalistas;CIII_Perdularios;CIV_PopUnif_RendaLinear;CV_PopUnif_RendaEquilibrio;CVI_PopUnif_RendaDesequilibrio;CVII_PopAleat_RendaLinear;CVIII_PopAleat_RendaEquilibrio;CIX_PopAleat_RendaDesequilibrio;CX_Ambient_RendaLinear;CXI_Ambient_RendaEquilibrio;CXII_Ambient_RendaDesequilibrio;CXIII_Perdul_RendaLinear;CXIV_Perdul_RendaEquilibrio;CXV_Perdul_RendaDesequilibrio;CXVI_PopUnif_RendaAleatLinear;CXVII_PopUnif_RendaAleatEquilibrio;CXVIII_PopUnif_RendaAleatDesequilibrio
9;2030;9/2030;185883,09118048704;184671,05809281013;185162,16109097397;189909,019631391;190043,37437737378;190041,89740044196;189901,7063787814;190036,0553675283;190034,57843066857;185833,96619658705;185878,33011016838;185866,33173822635;187636,89929680296;187714,06690071538;187725,56833048575;185762,82163303782;185511,68017155846;185220,7031669671
10;2030;10/2030;185906,65531653105;184678,42078685752;185176,04185900456;189933,08316681185;190067,45672246008;190065,97953875246;189925,76889034794;190060,13668795492;190058,65954432482;185841,49169776242;185885,86182229212;185873,8617705788;187651,06229758263;187728,24070496;187739,74374493049;185372,80982659064;185261,84707159176;185834,22749647652
11;2030;11/2030;185930,2227515493;184685,7845116736;185189,92457034564;189957,15007113316;190091,54243907804;190090,06504856248;189949,83477066856;190084,2213797656;190082,7440293353;185849,0182525112;185893,39458885722;185881,3928571352;187665,22728118364;187742,41649353804;187753,92114393367;185111,8409575924;185254,4759717174;185232,02213621687
12;2030;12/2030;185953,79348601197;184693,1492674176;185203,80922526354;189981,22034481802;190115,63152769356;190114,15393034552;189973,90402021218;190108,30944343435;190106,8318861746;185856,54586097508;185900,9284100079;185888,9249980443;187679,39424788262;187756,5942667265;187768,10052777384;185573,4346881464;185425,89375241665;185333,35622897773
1;2031;1/2031;185973,9998011793;184699,46279896508;185215,71202421005;190845,34103641624;191008,43809603804;191007,57732198513;190839,0379786678;191002,12904552085;191001,26827835603;186107,00617046442;186160,79468996788;186146,34117320523;188209,5467391117;188303,27704262204;188317,95003378438;185453,4864244474;185236,13821630474;185425,010762764
2;2031;2/2031;185994,208541102;184705,77708813638;185227,61625149086;190866,0792824895;191029,1959137616;191028,3281545647;190859,77546837443;191022,88610615663;191022,01835384904;186113,48936484128;186167,28433896907;186152,82908778408;188221,75517175888;188315,49672290625;188330,1645929771;185264,0047792359;185836,78476469617;185695,5803297928
3;2031;3/2031;186014,41970607667;184712,0921350195;185239,5219072824;190886,82001715238;191049,95622241803;191049,08147724115;190880,5154465802;191043,64565763855;191042,770919351;186119,9733371999;186173,77476672264;186159,31778090843;188233,96506941912;188327,71786955252;188342,3806179181;185693,52436752486;185392,59563753704;185966,0609074247
4;2031;4/2031;186034,6332963912;184718,40793971467;185251,4289917483;190907,563240704;191070,71902231677;191069,83729031973;190901,2579135824;191064,4077002676;191063,52597516138;186126,45808763604;186180,2659733322;186165,8072526791;188246,17643226671;188339,94048273642;188354,5981087813;185448,99171010393;185399,79424253287;185266,3247764751
5;2031;5/2031;186054,84931233764;184724,72450230343;185263,33750506726;190928,30895344276;191091,4843137491;191090,59559409387;190922,00286968218;191085,17223434203;191084,2835215782;186132,9436162433;186186,75795888595;186172,29750318572;188258,38926047724;188352,1645626329;188366,81706574332;185362,46594404918;185835,68994659293;185647,4291785245
6;2031;6/2031;186075,06775421242;184731,04182288452;185275,2474474092;190949,05715566658;191112,25209701603;191111,35638886545;190942,75031517685;191105,93926015982;191105,04355890106;186139,42992311274;186193,2507234762;186178,78853252233;188270,60355422803;188364,39010942006;188379,03748898083;185163,4530950507;185275,69076642342;185494,16036263664
7;2031;7/2031;186095,28862229383;184737,35990154033;185287,15881894247;190969,80784767805;191133,02237241872;191132,11967493253;190963,5002503657;191126,70877802104;191125,80608742815;186145,91700834243;186199,7442672007;186185,28034078397;188282,81931369373;188376,61712327224;188391,25937866792;185743,9474004165;185506,37246111516;185606,03137983033
8;2031;8/2031;186115,51191685873;184743,67873835357;185299,0716198338;190990,56102976628;191153,79514025195;191152,88545259222;190984,25267554406;191147,48078822423;191146,57110745818;186152,40487201785;186206,2385901481;186191,77292806053;188295,03653904962;188388,8456043658;188403,48273498198;185958,48327510557;185585,32559233543;185591,97081636195
9;2031;9/2031;186135,7376382572;184749,99833345274;185310,98585026976;191011,31670224178;191174,57040081802;191173,65372214626;191005,007591016;191168,25529106782;191167,33861929085;186158,89351424022;186212,7336924151;186198,26629444744;188307,25523047365;188401,07555287704;188415,70755810008;185422,2174825393;185863,88178291643;185716,6361504084
10;2031;10/2031;186155,96578671425;184756,318686879;185322,90151041202;191032,0748653969;191195,3481544204;191194,42448389632;191025,7649970771;191189,03228685458;191188,1086232265;186165,38293509875;186219,22957409694;186204,76044004117;188319,475388141;188413,30696898396;188427,93384819714;185668,2262662007;185150,37349185516;186074,9163679248
