SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;NN_MORADORES_ANALISE;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y;CD_SETOR_ORIGINAL;CD_SETOR;NN_MEDIA_CONSUMO;NN_CONSUMO_DIARIO;TP_COMPORTAMENTO;VL_RENDA_MEDIA_RESPONSAVEL;NN_MEDIA_MORADORES_IBGE
14C8E8226C951FD0FCA8726F06949759FB288FC28463F437EEEF968A5945361D;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.944599288169115;-38.36227879014692;569171.9575549869;8568904.585326985;292740805090200;S062;2.0;21.85792349726776;AMBIENTALISTA;1021.96;2.6
14E663E0B4416E817BC3D786C2803F73007BA527C86C886222E82D42B2B3019D;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.939092067271996;-38.35928721702657;569497.9833376526;8569512.828914326;292740805090166;S050;0.0;0.0;AMBIENTALISTA;1452.2;2.5
1577027BE9BB0FBFF933A608BC813A450741F0449EE72912C27724A087157AF2;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.944139645267471;-38.36254099122048;569143.6429169119;8568955.489037964;292740805090200;S062;0.0;0.0;AMBIENTALISTA;1021.96;2.6
157B74B156DDAD9DEDBCF8EE2087E38B64858EE427777518E211410DC0CF52F8;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.941699081865073;-38.359943153100176;569426.110118225;8569224.692088474;292740805090173;S053;14.416666666666666;236.33879781420765;PERDULARIO;1392.24;2.4
1597A61E9DBD3E9E937B6B76B04BB116111423A4E95ED8F0B35FB08A415B72F0;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.940730892930768;-38.35940053455396;569485.2375607898;8569331.61870816;292740805090173;S053;0.0;0.0;AMBIENTALISTA;1392.24;2.4
15B625AF2CC71DB0A6208B45ECE1B06B8178D870000D6B89AAF5C3EB016675C5;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.943289400959856;-38.362092506090775;569192.525345782;8569049.397939155;292740805090318;S093;1.0;10.92896174863388;AMBIENTALISTA;5134.75;2.9
15F211ACB9CAB5F8EBBF0B8FA2C2422C864BD0412B315EC585462701FDDAC28D;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.941784713793623;-38.3691073877823;568432.0178306241;8569217.691231702;292740805090275;S071;1.4166666666666667;23.224043715846996;AMBIENTALISTA;2365.73;2.4
1614BDFCDD929BD6680E7E3A2854E70594B3A065E6FE539773914E799C903690;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.942718328688382;-38.362469895533934;569151.7465584024;8569112.655995674;292740805090318;S093;9.916666666666666;108.37887067395263;MODERADO;5134.75;2.9
16F1471408C07D1F3CA39851E61918DEBE011A1021B83EC2A4344FB42DE19FBF;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.934996841268903;-38.36271073651051;569127.7488212001;8569966.655150414;292740805090323;S095;0.0;0.0;AMBIENTALISTA;2815.48;2.4
18A39CFE112C1BEB8B059C50310CCB172B43778F5E7DB398AA2E7822B4F4796F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.942519575879553;-38.36167562104325;569237.9581635006;8569134.421597274;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
